folder,filename,size.width,size.height,size.depth,object.name,object.difficult,object.occluded,object.pose,object.truncated,object.bndbox.xmin,object.bndbox.xmax,object.bndbox.ymin,object.bndbox.ymax
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,96,109,207,219
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,78,89,195,206
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,15,28,197,211
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,165,175,189,204
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,58,72,187,199
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,42,56,189,202
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,208,220,187,200
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,187,198,187,201
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,27,40,168,183
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,157,172,163,176
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,198,211,158,170
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,72,86,159,173
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,1,0,9,153,165
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,168,183,145,160
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,18,31,145,155
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,83,96,143,155
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,55,68,144,158
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,37,49,131,142
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,152,169,125,139
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,115,130,125,139
Annotations_2,Image_7.png,224,224,1,cell,0,0,Unspecified,0,106,120,142,157
