folder,filename,path,database,width,height,depth,segmented,name,pose,truncated,difficult,xmin,ymin,xmax,ymax
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,0,0,11,6,23,20
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,0,0,17,22,28,34
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,0,0,31,16,44,28
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,1,0,44,1,56,12
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,1,0,1,21,15,32
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,1,0,45,43,56,53
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,1,0,49,20,56,33
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,1,0,29,47,44,56
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,1,0,1,10,7,21
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,0,0,11,36,24,47
image_17,1-0.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-0.png,Unknown,56,56,1,0,cell,Unspecified,0,0,32,30,46,45
