folder,filename,path,database,width,height,depth,segmented,name,pose,truncated,difficult,xmin,ymin,xmax,ymax
image_17,2-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/2-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,2,20,14,31
image_17,2-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/2-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,39,22,50,31
image_17,2-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/2-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,31,36,44,47
image_17,2-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/2-2.png,Unknown,56,56,1,0,cell,Unspecified,1,0,47,36,56,47
image_17,2-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/2-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,4,36,16,47
image_17,2-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/2-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,41,2,50,14
image_17,2-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/2-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,19,44,27,54
image_17,2-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/2-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,26,5,38,15
image_17,2-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/2-2.png,Unknown,56,56,1,0,cell,Unspecified,1,0,1,3,11,13
image_17,2-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/2-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,24,17,38,27
