folder,filename,path,database,width,height,depth,segmented,name,pose,truncated,difficult,xmin,ymin,xmax,ymax
image_17,1-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,20,14,34,23
image_17,1-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-2.png,Unknown,56,56,1,0,cell,Unspecified,1,0,28,1,42,9
image_17,1-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,14,26,25,35
image_17,1-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,29,30,40,41
image_17,1-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-2.png,Unknown,56,56,1,0,cell,Unspecified,1,0,1,19,10,29
image_17,1-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,6,37,18,46
image_17,1-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,45,10,55,20
image_17,1-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,26,46,37,54
image_17,1-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,40,23,50,34
image_17,1-2.png,/Users/danielsantosa/Documents/GitHub/cell-detection/Training Data Set/image_17/1-2.png,Unknown,56,56,1,0,cell,Unspecified,0,0,44,42,55,53
