folder,filename,size.width,size.height,size.depth,object.name,object.difficult,object.occluded,object.pose,object.truncated,object.bndbox.xmin,object.bndbox.xmax,object.bndbox.ymin,object.bndbox.ymax
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,92,101,216,224
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,0,12,216,224
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,66,76,215,224
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,145,156,213,224
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,128,144,210,219
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,177,185,210,220
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,44,53,209,219
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,212,224,208,216
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,81,89,207,222
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,113,122,202,216
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,98,109,203,215
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,54,67,202,209
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,68,78,201,207
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,167,178,198,208
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,128,145,199,210
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,210,224,195,207
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,182,188,193,201
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,84,94,192,204
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,198,208,192,201
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,23,37,187,211
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,27,35,199,211
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,27,33,192,199
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,213,224,182,191
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,112,125,181,192
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,67,80,181,187
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,48,56,180,188
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,133,149,179,189
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,182,194,177,188
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,201,210,175,185
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,165,177,175,186
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,213,224,172,179
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,101,121,169,182
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,64,74,168,176
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,144,163,165,204
Annotations,Image_20.png,224,224,3,cell,0,0,Unspecified,0,154,163,189,195
