folder,filename,size.width,size.height,size.depth,object.name,object.difficult,object.occluded,object.pose,object.truncated,object.bndbox.xmin,object.bndbox.xmax,object.bndbox.ymin,object.bndbox.ymax
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,150,161,211,222
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,124,137,209,220
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,0,6,208,217
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,19,29.8,205.97,215
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,191,200,197,213
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,77,91,194,205
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,5.04,16,193,204.75
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,144,150,192,198
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,151,158,189,196
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,24,42,183,201
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,195,204.26,173,183
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,175,189,172,192
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,5,15,172,184
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,211,224,168,182
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,91,103.44,168.69,179
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,162,174,164,189
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,34,46,164,178
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,73,84,163,177.33
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,4.13,16,155.85,168
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,205,219,155,163
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,186,202,154,171
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,108.94,122.7,150,160
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,89.75,102.13,138.8,152.63
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,177,187,143,157
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,53,65.55,136,150.96
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,15.13,25.52,137.82,148.52
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,72,83,132,143
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,114,127,131,145
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,22,31,127.43,136
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,193.59,213.15,125.9,144.55
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,47,61,124,133
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,90,109,121,129
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,133.7,146.23,120.4,133.54
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,36,48,114,128
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,183,200,111,125
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,205,224,107,119
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,163,171,104,123
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,109,125,101,116
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,31,40.15,100.57,110
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,137,151,98,111
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,90,101,100.85,113
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,205,222,97,108
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,170,179,96,126
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,80,88,93,106.96
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,181,196,91,102
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,3.72,16.51,91.09,103
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,150,161,83,96
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,155,171,78,93
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,99.17,112.31,76.09,89.54
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,130,143,81.13,94
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,64.32,78.26,89.23,105.96
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,0,8,70,83.1
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,207,219,68,81
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,33.83,47,70.64,84.21
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,16,27,66,82.51
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,113.83,125.75,62.95,74.26
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,59.86,76.41,58,74
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,1,12.38,52.56,64.97
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,179,193,52,60
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,90,104.1,50,61.03
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,31.51,45.51,49.42,65.62
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,164,175.9,52.05,66.05
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,70,89,39,66
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,33,43,36,46
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,185.73,198.73,34.98,47.98
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,201.84,211,33,54.4
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,58.19,70.46,31,43
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,214,224,27,37
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,104.48,122.39,27,48.59
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,40,51.68,23.42,35.14
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,58,68,19,28
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,73,83,17,31
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,201,214,17,27
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,125,138.28,10.7,24.75
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,29.49,38,16,30
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,165.17,178.01,18.95,34.23
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,181.68,194.51,12.83,26
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,97.94,113.03,11.31,22.68
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,40.8,51,9,19
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,77,88,6,15
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,170,186,0,11
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,90,102.53,2,10.7
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,56.99,72.27,0.92,11
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,106.5,118.42,189.47,200.77
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,143.95,162.62,135.33,150.05
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,61.74,75.38,108.77,122.41
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,172.31,187.38,204.62,219.69
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,212.51,224,188.46,206.05
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,53.63,68.21,169.3,183.44
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,45.38,61.74,192.22,204.97
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,10.85,23.07,34.23,47.67
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,17.95,29.44,104.82,117.38
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,143.95,155.44,164.77,176.26
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,187.48,202.15,65.4,79.45
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,213.95,224,45.59,62.46
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,49.64,49.64,43.5,43.5
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,90.35,107.45,60.42,68.97
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,131.06,140.54,71.57,80.68
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,124.58,124.58,167.61,167.61
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,144.62,156.46,7.1,20.01
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,128.4,140.69,44.39,58.39
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,156.4,169.72,31.42,42.69
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,144.45,155.04,49.52,61.47
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,140.35,152.65,33.12,46.44
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,193.29,193.29,16.5,16.5
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,204.29,204.29,18.03,18.03
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,74.72,74.72,106.35,106.35
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,78.38,78.38,132.32,132.32
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,152.64,152.64,83.73,83.73
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,206.43,206.43,42.78,42.78
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,205.21,205.21,32.7,32.7
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,201.54,201.54,39.12,39.12
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,202.46,202.46,63.26,63.26
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,209.18,209.18,61.73,61.73
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,185.34,185.34,86.18,86.18
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,206.73,206.73,62.65,62.65
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,189.01,189.01,32.39,32.39
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,49.05,49.05,46.76,46.76
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,48.44,48.44,42.48,42.48
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,56.08,56.08,24.75,24.75
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,27.66,27.66,60.2,60.2
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,24.29,24.29,58.98,58.98
Annotations,Image_15.png,224,224,3,cell,0,0,Unspecified,0,23.38,23.38,59.29,59.29
